child_id,parent_id,link_type,degree,betweenness,closeness
ixv6p4a,ixuyudx,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv6zny,ixugpos,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv75yh,z587rx,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7a2t,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7dzd,z5be7t,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7e25,z585tc,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7grf,z56spe,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7jhr,z55lmq,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7l6b,itkxncd,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
ixv7nrf,ixtkrwn,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixv7pwh,ixv12cv,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv7sgq,z57dva,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7sjs,iwwp59t,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
ixv7yk2,z5ci27,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv7zym,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv80jf,z4snn5,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv82cu,ixv5cr3,reply to a comment,2.25017438851511e-05,0.0,4.091226160936564e-05
ixv89fo,ixv658y,reply to a comment,4.50034877703022e-05,1.2152156913672962e-08,4.000310024026862e-05
ixv89my,z5ayxy,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv8gdq,z5cl45,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv8kjj,z5ayxy,reply to a submission,6.75052316554533e-05,7.088758199642561e-09,3.0002325180201466e-05
ixv8l67,ixtiuwk,reply to a comment,2.25017438851511e-05,0.0,3.857441808883045e-05
ixv8ncc,z5abgp,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv8pkg,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv8qzg,z5cn1g,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv8u74,ixtnfw7,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixv929r,z4gq4p,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv92ll,ixv7sjs,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv99bu,ixv17s1,reply to a comment,6.75052316554533e-05,6.076078456836481e-09,3.375261582772665e-05
ixv9lwl,z58rvt,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv9mlv,z572nm,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv9onh,z5cn1g,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv9pme,ixpte0o,reply to a comment,4.50034877703022e-05,2.02535948561216e-09,3.600279021624176e-05
ixv9rkg,ixu6zyd,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv9rqv,iwssl62,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixv9uhm,z55lmq,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixv9uxi,ixv8kjj,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixv9v59,z59iuz,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixv9wb2,ixuyudx,reply to a comment,4.50034877703022e-05,3.0380392284182405e-09,3.375261582772665e-05
ixv9wd5,ix4xok1,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixva0of,ixv9wb2,reply to a comment,4.50034877703022e-05,2.02535948561216e-09,3.600279021624176e-05
ixva14y,z5cn1g,reply to a submission,4.50034877703022e-05,8.10143794244864e-09,3.0002325180201466e-05
ixva4ux,ixufmjj,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixva64z,z58oti,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixva8iw,z58rvt,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixvaap1,z58oti,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvagp3,z4xvvr,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvagxm,z57dva,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvam1z,z5cn1g,reply to a submission,4.50034877703022e-05,1.51901961420912e-08,3.0002325180201466e-05
ixvam2e,ixv9v59,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixvam51,z5cy7a,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvashs,z5cl45,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvat1o,ixv9pme,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixvatga,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvav1a,z5be7t,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixvav8l,z546s3,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixvaxnx,ixjb6qg,reply to a comment,2.25017438851511e-05,0.0,4.125319712277701e-05
ixvb114,z5d0qh,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvb9zd,z588w3,reply to a submission,6.75052316554533e-05,2.02535948561216e-09,3.0002325180201466e-05
ixvbgfp,z58oti,reply to a submission,6.75052316554533e-05,2.02535948561216e-09,3.0002325180201466e-05
ixvbhmy,z54a8z,reply to a submission,6.75052316554533e-05,4.05071897122432e-09,3.0002325180201466e-05
ixvbhph,ixr573s,reply to a comment,2.25017438851511e-05,0.0,3.857441808883045e-05
ixvc05p,z5d0qh,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvc1lo,ixva0of,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixvc3xh,z56spe,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvc4jf,z57dva,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvc9i8,z5cn1g,reply to a submission,9.00069755406044e-05,1.2152156913672962e-08,3.0002325180201466e-05
ixvcb5k,z5d8f0,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvcigq,z5cl45,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvcirf,z5d9lg,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvclur,z5cl45,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvcotl,ixuo6a9,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixvcpxb,yxsh1y,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvctb4,z53zv4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvcydm,ixlwyqk,reply to a comment,4.50034877703022e-05,5.0633987140304e-09,4.091226160936564e-05
ixvdcuc,ixusmoe,reply to a comment,4.50034877703022e-05,1.4177516399285122e-08,3.937805179901443e-05
ixvdeun,z2o7dv,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixvdwcn,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvdy36,ixvdeun,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixvdy9u,z56nlv,reply to a submission,9.00069755406044e-05,6.076078456836481e-09,3.0002325180201466e-05
ixvdzkp,ixue838,reply to a comment,4.50034877703022e-05,3.0380392284182405e-09,3.375261582772665e-05
ixve1io,z56nlv,reply to a submission,4.50034877703022e-05,6.076078456836481e-09,3.0002325180201466e-05
ixve55v,ixvdzkp,reply to a comment,4.50034877703022e-05,2.02535948561216e-09,3.600279021624176e-05
ixve5vz,ixtnrac,reply to a comment,4.50034877703022e-05,9.11411768525472e-09,3.857441808883045e-05
ixveh48,z58oti,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
ixvetjn,iwvjbb2,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixvexel,z56v2w,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
ixvezat,ixv7l6b,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
ixvf8z3,ixvb9zd,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixvfi30,ixmhg0p,reply to a comment,4.50034877703022e-05,6.076078456836481e-09,3.375261582772665e-05
ixvfjht,ixtsdel,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
ixvflc0,ixv6d78,reply to a comment,2.25017438851511e-05,0.0,3.750290647525183e-05
ixvfmbu,z56nlv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
