node_id,degree,betweenness,closeness
n5yikk,0.00013530273988048258,0.0,0.0
gx4osg0,4.5100913293494195e-05,1.5256036879902868e-09,2.2550456646747097e-05
gx4pipi,4.5100913293494195e-05,2.034138250653716e-09,3.006727552899613e-05
gx4w1ag,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gx549ut,4.5100913293494195e-05,1.5256036879902868e-09,3.3825684970120644e-05
gx55129,2.2550456646747097e-05,0.0,3.6080730634795355e-05
gx5arys,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gx5itii,2.2550456646747097e-05,0.0,3.006727552899613e-05
gx69p5r,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gx69rnq,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gx6bx5i,2.2550456646747097e-05,0.0,3.006727552899613e-05
gx7ihkv,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gx83cui,2.2550456646747097e-05,0.0,3.006727552899613e-05
n6oufw,0.00024805502311421807,0.0,0.0
gx8ig84,6.765136994024129e-05,3.0512073759805737e-09,2.2550456646747097e-05
gx8ikzh,2.2550456646747097e-05,0.0,3.006727552899613e-05
gx8v7x7,6.765136994024129e-05,4.068276501307432e-09,3.006727552899613e-05
gx8wuyh,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gx926k9,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gx9ieke,6.765136994024129e-05,1.017069125326858e-09,2.2550456646747097e-05
gx9jxl1,2.2550456646747097e-05,0.0,3.006727552899613e-05
gx9n0mt,4.5100913293494195e-05,3.0512073759805737e-09,3.3825684970120644e-05
gx9o68p,4.5100913293494195e-05,1.017069125326858e-09,2.2550456646747097e-05
gx9qfm1,4.5100913293494195e-05,2.034138250653716e-09,3.6080730634795355e-05
gx9qxly,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
gx9r6ae,2.2550456646747097e-05,0.0,3.758409441124516e-05
gx9rf8u,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gxandqo,9.020182658698839e-05,2.034138250653716e-09,2.2550456646747097e-05
gxcepqf,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gxcjw9n,2.2550456646747097e-05,0.0,3.6080730634795355e-05
gxck3a3,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxck668,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gxclj54,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxdd1u9,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxdkt79,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxdspv0,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
gxeg4lq,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gxeikbs,2.2550456646747097e-05,0.0,3.006727552899613e-05
n882b0,4.5100913293494195e-05,0.0,0.0
gxh1g03,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gxhes2c,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxhey2l,2.2550456646747097e-05,0.0,2.2550456646747097e-05
